targets, factors
AIF1_NUC , ( AIF1_MT ) 
BIR1 ,  ! ( ( NMA111_NUC ) )
CDC6 , ( Adozelesin ) 
MAPK , ( Mating ) 
MT_ALT , ( MMI1 )  | ( PKA )  | ( RAS2 )  | ( MT_Frag ) 
HOG1 , ( ( Stress )  | ( PTP2 & ( ( ( ! PTP3 ) ) )    )  | ( PTP3 & ( ( ( ! PTP2 ) ) )    )  ) |  ! ( PTP2 | Stress | PTP3 ) 
MMI1 , ( HK ) 
SDP1 , ( MSN2_4 ) 
AIF1_MT , ( HK ) 
HOG1_Dep , ( HOG1 ) 
H2B , ( AIF1_NUC )  | ( HOS3 )  | ( NUC1_NUC )  | ( STE20_NUC )  | ( RPD3 ) 
SOD1 , ( Heat ) 
CDC48 , ( HK ) 
NMA111_CYT , ( Heat ) 
RPD3 , ( Stress ) 
STE20_NUC , ( STE20_CYT ) 
SOD2 , ( HK ) 
POR1_2 , ( HK ) 
YCA1 , ( RedActinDyn )  | ( CytC_CYT )  | ( MT_Frag )  | ( ROS_CYT )  | ( MEC1 )  | ( ( Salt  ) & ! ( SRO7  ) ) 
